DISPLAY "(null)" invalid; disabling X11 forwarding
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['raiders1:2200']
INFO:tensorflow:Worker hosts are: ['raiders1:2201', 'raiders1:2202', 'raiders1:2203', 'raiders1:2204', 'raiders2:2205', 'raiders2:2206', 'raiders2:2207', 'raiders2:2208', 'raiders3:2209', 'raiders3:2210', 'raiders3:2211', 'raiders3:2212', 'raiders8:2213', 'raiders8:2214', 'raiders8:2215', 'raiders8:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:153] retrieving CUDA diagnostic information for host: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:160] hostname: raiders2
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:185] libcuda reported version is: Not found: was unable to find libcuda.so DSO loaded into this program
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:347] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  352.93  Tue Apr  5 18:18:24 PDT 2016
GCC version:  gcc version 4.8.4 (Ubuntu 4.8.4-2ubuntu1~14.04.1) 
"""
I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] kernel reported version is: 352.93.0
I tensorflow/core/common_runtime/gpu/gpu_init.cc:81] No GPU devices available on machine.
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job ps -> {raiders1:2200}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:206] Initialize HostPortsGrpcChannelCache for job worker -> {raiders1:2201, raiders1:2202, raiders1:2203, raiders1:2204, localhost:2205, raiders2:2206, raiders2:2207, raiders2:2208, raiders3:2209, raiders3:2210, raiders3:2211, raiders3:2212, raiders8:2213, raiders8:2214, raiders8:2215, raiders8:2216}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:202] Started server with target: grpc://localhost:2205
INFO:tensorflow:Learning rate: 0.002500, momentum: 0.300000
INFO:tensorflow:Sync mode!!!!!!
INFO:tensorflow:Compute groups : 1
INFO:tensorflow:SyncReplicas enabled: replicas_to_aggregate=16; total_num_replicas=16
INFO:tensorflow:Num nodes per compute groups: 16
INFO:tensorflow:Tokens per step: 16
INFO:tensorflow:2016-07-26 18:46:16.668621 Supervisor
INFO:tensorflow:got sessions! 2016-07-26 18:46:31.880472 
INFO:tensorflow:Started 3 queues for processing input data.
INFO:tensorflow:Step: 399, Loss: 4.904568, time: 35.420 sec/batch
INFO:tensorflow:Step: 400, Loss: 5.409922, time: 22.411 sec/batch
INFO:tensorflow:Step: 401, Loss: 5.600681, time: 13.692 sec/batch
INFO:tensorflow:Step: 402, Loss: 5.596063, time: 18.169 sec/batch
INFO:tensorflow:Step: 403, Loss: 5.585711, time: 10.353 sec/batch
INFO:tensorflow:Step: 404, Loss: 5.745582, time: 17.797 sec/batch
INFO:tensorflow:Step: 405, Loss: 5.307018, time: 17.508 sec/batch
INFO:tensorflow:Step: 406, Loss: 5.074586, time: 15.466 sec/batch
INFO:tensorflow:Step: 407, Loss: 5.625607, time: 18.948 sec/batch
INFO:tensorflow:Step: 408, Loss: 5.229650, time: 16.454 sec/batch
INFO:tensorflow:Step: 409, Loss: 5.118364, time: 19.339 sec/batch
INFO:tensorflow:Step: 410, Loss: 4.935582, time: 16.401 sec/batch
INFO:tensorflow:Step: 411, Loss: 5.180155, time: 17.090 sec/batch
INFO:tensorflow:Step: 412, Loss: 4.815606, time: 17.737 sec/batch
INFO:tensorflow:Step: 413, Loss: 5.343321, time: 16.677 sec/batch
INFO:tensorflow:Step: 414, Loss: 5.135422, time: 19.550 sec/batch
INFO:tensorflow:Step: 415, Loss: 5.857882, time: 17.088 sec/batch
INFO:tensorflow:Step: 416, Loss: 5.072873, time: 21.059 sec/batch
INFO:tensorflow:Step: 417, Loss: 5.071227, time: 20.196 sec/batch
INFO:tensorflow:Step: 418, Loss: 5.188654, time: 20.124 sec/batch
INFO:tensorflow:Step: 419, Loss: 5.340235, time: 19.223 sec/batch
INFO:tensorflow:Step: 420, Loss: 5.558732, time: 18.129 sec/batch
INFO:tensorflow:Step: 421, Loss: 5.494737, time: 21.033 sec/batch
INFO:tensorflow:Step: 422, Loss: 5.146548, time: 16.662 sec/batch
INFO:tensorflow:Step: 423, Loss: 5.462099, time: 21.163 sec/batch
INFO:tensorflow:Step: 424, Loss: 5.278271, time: 21.994 sec/batch
INFO:tensorflow:Step: 425, Loss: 5.922071, time: 21.008 sec/batch
INFO:tensorflow:Step: 426, Loss: 5.634238, time: 20.880 sec/batch
INFO:tensorflow:Step: 427, Loss: 5.641418, time: 18.993 sec/batch
INFO:tensorflow:Step: 428, Loss: 5.502766, time: 19.175 sec/batch
INFO:tensorflow:Step: 429, Loss: 5.011423, time: 18.959 sec/batch
INFO:tensorflow:Step: 430, Loss: 5.710183, time: 20.552 sec/batch
INFO:tensorflow:Step: 431, Loss: 6.101052, time: 20.824 sec/batch
INFO:tensorflow:Step: 432, Loss: 5.412285, time: 16.920 sec/batch
INFO:tensorflow:Step: 433, Loss: 4.858206, time: 17.578 sec/batch
INFO:tensorflow:Step: 434, Loss: 5.264729, time: 20.360 sec/batch
INFO:tensorflow:Step: 435, Loss: 5.593476, time: 19.018 sec/batch
INFO:tensorflow:Step: 436, Loss: 5.859244, time: 20.687 sec/batch
INFO:tensorflow:Step: 437, Loss: 4.993852, time: 21.363 sec/batch
